Red Checkpoint;Blue Checkpoint;Game Moves;Winner
8;5;B5 B5 J10 K11 G7 H5 F6 G4 E5 F3 D4 C3 E3 F2 I2 J3 D3 D2 F1 G2 H4 G5 I5 I4 F5 A4 G6 B4 H6 K3 E4 F4;Blue
8;5;J10 J10 F6 E8 B9 B10 G7 G8 F8 E10 E9 C11 F9 F10 G9 G10 I9 H11 I10 I11 J11 J9 H10 G11 K10 K9 C10 B11 I8 D10 D9 A10;Blue
11;5;B5 B5 J10 K11 G7 H5 F6 G4 E5 F3 D4 C3 E3 F2 I2 J3 D3 D2 F1 G2 H4 G5 I5 I4 F5 A4 G6 B4 H6 K3 E4 F4;Blue
12;5;F8 F8 F6 F7 E7 D9 E8 E9 F8 F9 H8 G8 H7 G7 I5 I6 J5 J6 A10 A11 C10 C9 B10 B8 K5 K6 D10 B9 H5 C8 D8 A9;Blue
15;5;D4 D4 J10 K11 F6 G4 J3 J2 E5 F3 I2 I3 C3 C4 D3 C5 E4 E3 A6 B4 E8 F4 D5 F5 E6 B5 F1 K2 E2 A5 G11 H4;Blue
8;6;J10 J10 F6 E8 B9 B10 G7 G8 F8 E10 E9 C11 F9 F10 G9 G10 I9 H11 I10 I11 J11 J9 H10 G11 K10 K9 C10 B11 I8 D10 D9 A10;Blue
12;6;F8 F8 F6 F7 E7 D9 E8 E9 F8 F9 H8 G8 H7 G7 I5 I6 J5 J6 A10 A11 C10 C9 B10 B8 K5 K6 D10 B9 H5 C8 D8 A9;Blue
13;6;B5 B5 J10 K11 F6 G4 J3 J2 E5 F3 D4 C3 I2 I3 D3 D2 F2 E3 E4 F4 F5 C4 H4 H3 G2 G3 F1 K2 E8 A5 C5 B5;Blue
14;6;B5 B5 J10 K11 F6 G4 J3 J2 E5 F3 D4 C3 I2 I3 D3 D2 F2 E3 E4 F4 F5 C4 H4 H3 G2 G3 F1 K2 E8 A5 C5 B5;Blue
15;6;D4 D4 J10 K11 F6 G4 J3 J2 E5 F3 I2 I3 C3 C4 D3 C5 E4 E3 A6 B4 E8 F4 D5 F5 E6 B5 F1 K2 E2 A5 G11 H4;Blue
8;7;B5 B5 J10 K11 G7 H5 F6 G4 E5 F3 D4 C3 E3 F2 I2 J3 D3 D2 F1 G2 H4 G5 I5 I4 F5 A4 G6 B4 H6 K3 E4 F4;Blue
8;7;J10 J10 F6 E8 B9 B10 G7 G8 F8 E10 E9 C11 F9 F10 G9 G10 I9 H11 I10 I11 J11 J9 H10 G11 K10 K9 C10 B11 I8 D10 D9 A10;Blue
11;7;B5 B5 J10 K11 G7 H5 F6 G4 E5 F3 D4 C3 E3 F2 I2 J3 D3 D2 F1 G2 H4 G5 I5 I4 F5 A4 G6 B4 H6 K3 E4 F4;Blue
11;7;G1 G1 F6 E8 B9 B10 G7 G8 F8 E10 E9 C11 J7 F9 H7 I9 K8 J10 G10 H8 I7 I8 J8 J9 K9 K10 C10 B11 D10 D11 G9 A10;Blue
12;7;F8 F8 F6 F7 E7 D9 E8 E9 F8 F9 H8 G8 H7 G7 I5 I6 J5 J6 A10 A11 C10 C9 B10 B8 K5 K6 D10 B9 H5 C8 D8 A9;Blue
8;4;E1 G7 E8 F6 D7 E5 D5 D6 B7 C6 B6 C7 B8 C10 C4 A10 B10 B9 C8 C9 D10 D8 E7 C3 D3 D9 E9 E6 C5 D11 C11 E2 D2;Red
9;4;E1 G7 E8 F6 D7 E5 D5 D6 B7 C6 B6 C7 B8 C10 C4 A10 B10 B9 C8 C9 D10 D8 E7 C3 D3 D9 E9 E6 C5 D11 C11 E2 D2;Red
10;2;D6 D6 E6 E7 G6 H4 F5 G3 E4 E3 F3 G1 G2 H1 J2 H2 I4 I3 J3 I5 H5 H6 F8 F9 E9 E10 D10 F2 J1 D9 D11 E8 F7;Red
10;3;D6 D6 E6 E7 G6 H4 F5 G3 E4 E3 F3 G1 G2 H1 J2 H2 I4 I3 J3 I5 H5 H6 F8 F9 E9 E10 D10 F2 J1 D9 D11 E8 F7;Red
10;4;E1 G7 E8 F6 D7 E5 D5 D6 B7 C6 B6 C7 B8 C10 C4 A10 B10 B9 C8 C9 D10 D8 E7 C3 D3 D9 E9 E6 C5 D11 C11 E2 D2;Red
10;7;D6 D6 E6 E7 G6 H4 F5 G3 E4 E3 F3 G1 G2 H1 J2 H2 I4 I3 J3 I5 H5 H6 F8 F9 E9 E10 D10 F2 J1 D9 D11 E8 F7;Red
11;4;E1 G7 E8 F6 D7 E5 D5 D6 B7 C6 B6 C7 B8 C10 C4 A10 B10 B9 C8 C9 D10 D8 E7 C3 D3 D9 E9 E6 C5 D11 C11 E2 D2;Red
12;2;I10 I10 H4 G8 D8 E6 F6 E7 F7 E9 C8 C9 D9 C11 B10 C10 B9 C7 D7 D6 E8 D10 B11 G4 G5 F5 I2 I3 H3 H5 G6 I4 I1;Red
12;4;C5 C5 D5 D4 E4 F2 G3 H1 I2 H4 D8 E6 C7 F3 F4 G4 H3 F5 E5 D6 C6 C8 D7 D3 I1 I4 D9 B4 E8 E7 D10 K3 C11;Red
12;4;E1 G7 E8 F6 D7 E5 D5 D6 B7 C6 B6 C7 B8 C10 C4 A10 B10 B9 C8 C9 D10 D8 E7 C3 D3 D9 E9 E6 C5 D11 C11 E2 D2;Red
13;4;E1 G7 E8 F6 D7 E5 D5 D6 B7 C6 B6 C7 B8 C10 C4 A10 B10 B9 C8 C9 D10 D8 E7 C3 D3 D9 E9 E6 C5 D11 C11 E2 D2;Red
14;4;E1 G7 E8 F6 D7 E5 D5 D6 B7 C6 B6 C7 B8 C10 C4 A10 B10 B9 C8 C9 D10 D8 E7 C3 D3 D9 E9 E6 C5 D11 C11 E2 D2;Red
15;1;D1 G7 E8 F6 D7 E5 D5 D6 B7 C6 B6 C7 B8 C10 C4 A10 B10 B9 C8 C9 D10 D8 E7 C3 D3 D9 E9 E1 D2 F7 C11 E6 B5;Red
15;2;B4 B4 G7 I10 F9 H5 F6 G4 E5 F3 D4 E2 C3 B2 C2 C1 D1 C4 D3 E3 E4 F4 F5 G5 F7 G6 E11 J5 E10 B3 F1 I5 G8;Red
15;4;B6 B6 F6 G4 J3 J2 E5 F3 D4 C3 E2 E1 F1 E3 D3 D2 F5 C4 E4 F4 E8 E9 D9 C11 B10 B11 A11 E7 F7 G5 G6 H5 C10;Red
12;0;B4 B4 B3 C4 B5 B6 F6 G4 J3 J2 E5 F3 D4 E2 D3 C2 C3 B2 E3 F2 G3 F4 I2 I3 H3 H4 A2 A3 H1 G5 B1 A1 I5 K2;Blue
12;0;G1 G1 F6 E8 B9 B10 G7 G8 F8 E10 E9 C11 J7 I9 K8 J10 G10 G9 F9 F10 D10 D11 C10 B11 I7 H9 K9 K10 I11 I10 J11 J9 A10 A11;Blue
13;0;B4 B4 B3 C4 B5 B6 F6 G4 J3 J2 E5 F3 D4 E2 D3 C2 C3 B2 E3 F2 G3 F4 I2 I3 H3 H4 A2 A3 H1 G5 B1 A1 I5 K2;Blue
13;0;G9 G9 F6 E8 B9 B10 G7 G8 F8 E10 E9 C11 F9 F10 D10 D11 C10 B11 H8 H9 G9 G10 I9 I8 K7 J8 K8 J6 K6 K5 J5 J7 A11 A10;Blue
14;0;B4 B4 B3 C4 B5 B6 F6 G4 J3 J2 E5 F3 D4 E2 D3 C2 C3 B2 E3 F2 G3 F4 I2 I3 H3 H4 A2 A3 H1 G5 B1 A1 I5 K2;Blue
9;1;F9 F9 F6 E8 B9 B10 G7 G8 F8 E10 E9 C11 J7 I8 J8 I10 I9 H10 H9 G10 G9 F10 K9 J11 K11 K10 C10 B11 D10 D11 A11 A10 J10 I11;Blue
